menu,categoria_raiz,subcategoria,categoria_ruta,orden_categoria,producto,descripcion,precio,precio_num,variantes_precio,num_variantes,recomendado,nuevo,oculto_en_web,precio_oculto,num_imagenes,imagen_archivo,imagen_url,product_id,category_id,product_type
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,QUESO AZUL & MANZANA,"Espárragos, tomate Cherry confitado, champiñones y manzana verde cremados en salsa blanca de la casa y queso azul.",$44.900,44900,,1,,,,,0,,,FN4TuW6g7IZ8HbtTOfUq,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,PESTO E GAMBERI,"Risotto cremado en Grana padano y pesto de albahaca, finalizado con camarones sellados en mantequilla y ajo.",$46.900,46900,,1,,,,,0,,,Oxn6BZ4KFQ6scJsHQAEY,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,LOMO A LA PIMIENTA,"Arroz arbóreo cremado con Grana padano, queso azul y parmesano, finalizado con cortes finos de solomito de res a la parrilla con toques ligeros de pimienta tostada.",$59.900,59900,,1,,,,,1,43c3776b-b257-4ad1-985b-497c52bbec49.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/43c3776b-b257-4ad1-985b-497c52bbec49.webp,coV4uPRV8uEEJW1C6aTn,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,TARTUFO E FUNGHI,"Risotto elaborado en mantequilla, Grana padano, laminas de champiñones y crema de trufa de la casa.",$48.900,48900,,1,,,,,0,,,Rr5FbRpeXN4E4elxg3Z4,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,MEDITERRÁNEO,"Arroz arbóreo cremado con Grana padano, toques sutiles de salsa soya, champiñones y espárragos, finalizado con camarones sellados en aceite de oliva, pimienta y vino blanco.",$50.900,50900,,1,,,,,1,a1bb6b44-bf9e-41e8-8187-c5de30fda6ba.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/a1bb6b44-bf9e-41e8-8187-c5de30fda6ba.webp,yEzeu5a24ugFUabL9ayS,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,DI MARE,"Risotto de la casa con selección especial de frutos del mar en salsa pomodoro San Marzano, cremado con Grana padano y pasta artesanal de pimentón rostizado.",$59.900,59900,,1,,,,,1,2cc8bec0-ebb7-4d80-b87e-6d919dde324a.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/2cc8bec0-ebb7-4d80-b87e-6d919dde324a.webp,3KzzE8Rw8ddn4M9YabiV,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,RISOTTOS,RISOTTOS & PASTAS > RISOTTOS,-2,CAPRESE & PROSCIUTTO,"Risotto especial de la casa cremado en salsa pomodoro, Grana Padano y tomates secos, finalizado con toques sutiles de stracciatella y prosciutto PAESANO.",$58.900,58900,,1,,sí,,,1,2fe02199-e9b4-47d8-b42b-eaf39f20201a.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/2fe02199-e9b4-47d8-b42b-eaf39f20201a.webp,T1QqNdL1zbeWZ2zEAdgC,TuwhF3URRaX8Vs87rjSd,product
BRUNCH,RISOTTOS & PASTAS,PASTA TRADIZIONALE,RISOTTOS & PASTAS > PASTA TRADIZIONALE,-1,BOLOGNESA,Res cocida a fuego lento en tradicional salsa italiana elaborada con tomate San Marzano y finalizada con queso Grana padano.,$40.900,40900,,1,,,,,0,,,t1HY2eChcTjtu2sOhzlC,WLQHu6UbBjIlL94QODO1,product
BRUNCH,RISOTTOS & PASTAS,PASTA TRADIZIONALE,RISOTTOS & PASTAS > PASTA TRADIZIONALE,-1,CARBONARA,"Rigatoni en preparación clásica de queso Grana Padano, yemas y crema, finalizada con guanciale tostado.",$44.900,44900,,1,,,,,1,8a2bd615-1061-43fe-9e4a-995076b664b9.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/8a2bd615-1061-43fe-9e4a-995076b664b9.webp,bKIezI029lZ9tBtItuRp,WLQHu6UbBjIlL94QODO1,product
BRUNCH,CACEROLAS & PANINI,PANINI ITALIANO,CACEROLAS & PANINI > PANINI ITALIANO,-1,CAPRESE,"Tomate fresco, tomate seco, mozzarella de búfala, rúgula, mayonesa pesto, pan artesal.",$36.900,36900,,1,,,,,0,,,gBUfD4QldUb4LMPordHc,Dm1ZNt2FniGfld7sA91R,product
BRUNCH,CACEROLAS & PANINI,PANINI ITALIANO,CACEROLAS & PANINI > PANINI ITALIANO,-1,PROSCIUTTO & PESTO,"Prosciutto, tomate fresco, rúgula, cebolla caramelizada, mayonesa pesto.",$36.900,36900,,1,,,,,0,,,zfXBxPtqfsC0B2vH1R99,Dm1ZNt2FniGfld7sA91R,product
BRUNCH,RISOTTOS & PASTAS,PASTA TRADIZIONALE,RISOTTOS & PASTAS > PASTA TRADIZIONALE,-1,QUATTRO FORMAGGI & MILANESA,"Milanesa de pollo acompañada con pasta cremada en queso azul, Grana padano, parmesano, mozzarella y salsa blanca de la casa.",$38.900,38900,,1,,,,,0,,,drJ7vBvqRfFC7EZyGEvU,WLQHu6UbBjIlL94QODO1,product
BRUNCH,CACEROLAS & PANINI,PANINI ITALIANO,CACEROLAS & PANINI > PANINI ITALIANO,-1,MILANESA DE POLLO,"Milanesa de pollo, tomate fresco, queso crema, cogollo europeo, aderezo cesar.",$34.900,34900,,1,,,,,0,,,Cf2YNFEaTS5rEcRtwblX,Dm1ZNt2FniGfld7sA91R,product
BRUNCH,RISOTTOS & PASTAS,PASTA ESPECIALI,RISOTTOS & PASTAS > PASTA ESPECIALI,-0.5,HONGOS & TRUFA,"Preparación especial de la casa cremada con trufa, champiñones, Grana padano y toques de pimienta negra.",$44.900,44900,,1,,,,,1,1b371f67-fd90-4b98-b771-9730ee658d64.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/1b371f67-fd90-4b98-b771-9730ee658d64.webp,LA2MJ03CPlbTRfMupNmI,K5sCHoSszBpVAViTrMiq,product
BRUNCH,RISOTTOS & PASTAS,PASTA ESPECIALI,RISOTTOS & PASTAS > PASTA ESPECIALI,-0.5,FRUTTI DI MARE,"Frutos del mar en salsa pomodoro San Marzano, cremado con Grana padano y pasta artesanal de pimentón rostizado.",$48.900,48900,,1,,,,,0,,,upkPh0s3ujRSBCjco16k,K5sCHoSszBpVAViTrMiq,product
