menus,categoria_raiz,subcategoria,producto,descripcion,precio,variantes_precio,recomendado,nuevo,num_imagenes,imagen_archivo,imagen_url,product_id
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,QUESO AZUL & MANZANA,"Espárragos, tomate Cherry confitado, champiñones y manzana verde cremados en salsa blanca de la casa y queso azul.",$44.900,,,,0,,,FN4TuW6g7IZ8HbtTOfUq
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,PESTO E GAMBERI,"Risotto cremado en Grana padano y pesto de albahaca, finalizado con camarones sellados en mantequilla y ajo.",$46.900,,,,0,,,Oxn6BZ4KFQ6scJsHQAEY
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,LOMO A LA PIMIENTA,"Arroz arbóreo cremado con Grana padano, queso azul y parmesano, finalizado con cortes finos de solomito de res a la parrilla con toques ligeros de pimienta tostada.",$59.900,,,,1,43c3776b-b257-4ad1-985b-497c52bbec49.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/43c3776b-b257-4ad1-985b-497c52bbec49.webp,coV4uPRV8uEEJW1C6aTn
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,TARTUFO E FUNGHI,"Risotto elaborado en mantequilla, Grana padano, laminas de champiñones y crema de trufa de la casa.",$48.900,,,,0,,,Rr5FbRpeXN4E4elxg3Z4
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,MEDITERRÁNEO,"Arroz arbóreo cremado con Grana padano, toques sutiles de salsa soya, champiñones y espárragos, finalizado con camarones sellados en aceite de oliva, pimienta y vino blanco.",$50.900,,,,1,a1bb6b44-bf9e-41e8-8187-c5de30fda6ba.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/a1bb6b44-bf9e-41e8-8187-c5de30fda6ba.webp,yEzeu5a24ugFUabL9ayS
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,DI MARE,"Risotto de la casa con selección especial de frutos del mar en salsa pomodoro San Marzano, cremado con Grana padano y pasta artesanal de pimentón rostizado.",$59.900,,,,1,2cc8bec0-ebb7-4d80-b87e-6d919dde324a.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/2cc8bec0-ebb7-4d80-b87e-6d919dde324a.webp,3KzzE8Rw8ddn4M9YabiV
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,RISOTTOS,CAPRESE & PROSCIUTTO,"Risotto especial de la casa cremado en salsa pomodoro, Grana Padano y tomates secos, finalizado con toques sutiles de stracciatella y prosciutto PAESANO.",$58.900,,,sí,1,2fe02199-e9b4-47d8-b42b-eaf39f20201a.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/2fe02199-e9b4-47d8-b42b-eaf39f20201a.webp,T1QqNdL1zbeWZ2zEAdgC
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA TRADIZIONALE,BOLOGNESA,Res cocida a fuego lento en tradicional salsa italiana elaborada con tomate San Marzano y finalizada con queso Grana padano.,$40.900,,,,0,,,t1HY2eChcTjtu2sOhzlC
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA TRADIZIONALE,CARBONARA,"Rigatoni en preparación clásica de queso Grana Padano, yemas y crema, finalizada con guanciale tostado.",$44.900,,,,1,8a2bd615-1061-43fe-9e4a-995076b664b9.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/8a2bd615-1061-43fe-9e4a-995076b664b9.webp,bKIezI029lZ9tBtItuRp
BRUNCH | LUNCH Y DINNER,CACEROLAS & PANINI,PANINI ITALIANO,CAPRESE,"Tomate fresco, tomate seco, mozzarella de búfala, rúgula, mayonesa pesto, pan artesal.",$36.900,,,,0,,,gBUfD4QldUb4LMPordHc
